Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 90th Percentile Salary,Group
Accounting,46000,77100,42200,152000,Business
Aerospace Engineering,57700,101000,64300,161000,STEM
Agriculture,42600,71900,36300,150000,Business
Anthropology,36800,61500,33800,138000,HASS
Architecture,41600,76800,50600,136000,Business
Art History,35800,64900,28800,125000,HASS
Biology,38800,64800,36900,135000,STEM
Business Management,43000,72100,38800,147000,Business
Chemical Engineering,63200,107000,71900,194000,STEM
Chemistry,42600,79900,45300,148000,STEM
Civil Engineering,53900,90500,63400,148000,STEM
Communications,38100,70000,37500,143000,HASS
Computer Engineering,61400,105000,66100,162000,STEM
Computer Science,55900,95500,56000,154000,STEM
Construction,53700,88900,56300,171000,Business
Criminal Justice,35000,56300,32200,107000,HASS
Drama,35900,56900,36700,153000,HASS
Economics,50100,98600,50600,210000,Business
Education,34900,52000,29300,102000,HASS
Electrical Engineering,60900,103000,69300,168000,STEM
English,38000,64700,33400,133000,HASS
Film,37900,68500,33900,136000,HASS
Finance,47900,88300,47200,195000,Business
Forestry,39100,62600,41000,111000,Business
Geography,41200,65500,40000,132000,HASS
Geology,43500,79500,45000,156000,STEM
Graphic Design,35700,59800,36000,112000,HASS
Health Care Administration,38800,60600,34600,101000,Business
History,39200,71000,37000,149000,HASS
Hospitality & Tourism,37800,57500,35500,124000,Business
Industrial Engineering,57700,94700,57100,173000,STEM
Information Technology (IT),49100,74800,44500,129000,STEM
Interior Design,36100,53200,35700,107000,HASS
International Relations,40900,80900,38200,157000,HASS
Journalism,35600,66700,38400,145000,HASS
Management Information Systems (MIS),49200,82300,45300,146000,STEM
Marketing,40800,79600,42100,175000,Business
Math,45400,92400,45200,183000,STEM
Mechanical Engineering,57900,93600,63700,163000,STEM
Music,35900,55000,26700,134000,HASS
Nursing,54200,67000,47600,98300,Business
Nutrition,39900,55300,33900,99200,HASS
Philosophy,39900,81200,35500,168000,HASS
Physician Assistant,74300,91700,66400,124000,STEM
Physics,50300,97300,56000,178000,STEM
Political Science,40800,78200,41200,168000,HASS
Psychology,35900,60400,31600,127000,HASS
Religion,34100,52000,29700,96400,HASS
Sociology,36500,58200,30700,118000,HASS
Spanish,34000,53100,31000,96400,HASS
Source: PayScale Inc.,,,,,
